Sample ID,Depth,pH,H2S,Fe2,Fetot,NH4,Ca,Mg,Cl,NO2,NO3,SO4.IC,PO4,Lactate,Acetate,Propionate,Formate,Butyrate,month,SO4(uM),Acetate(uM),Lactate(uM),Propionate(uM),Butyrate(uM),Formate(uM),NH4(uM),Fe2(uM),Fetot(uM),Ca(uM),Mg(uM),Cl(uM),NO2(uM),NO3(uM),PO4(uM),Depth_group
56,-54,7.69,15.771043773333332,1.02,2.3,2680.15,138.25,34.97,18.478440936389028,0.0,0.24158446883143728,0.6178519499819309,2.159793125007392,0.0,3.033280404980933,0.0,0.39334722018913176,0.0,Oct,6.431937851154808,51.37322005590633,0.0,0.0,0.0,8.737748410359014,191.3477121663204,18.2648401826484,41.185423941266,3449.5234293128397,1438.7986011108824,521.2095150308585,0.0,3.8962157640998902,22.74151086545415,Btm
57,-54,7.6,5.535353535333333,1.37,2.64,3406.2,142.62,37.65,18.450833107115947,0.0,0.19812632998411317,0.6266406626515901,2.2957590832657724,0.0,3.120251816351065,0.0,0.36296288070993493,0.25365972424658956,Oct,6.523429759021342,52.84621327062978,0.0,0.0,2.878898243633975,8.062795848455803,243.18361926792176,24.532187304145403,47.27370400214881,3558.560806427466,1549.0639786052252,520.4307987227019,0.0,3.195333433069212,24.173162481186676,Btm
1,0,6.88,-2.174146915447975,0.21,0.87,275.56,133.86,34.13,16.213576423800923,0.0,0.0,44.29628913274269,0.8972520840367151,0.7466374102183673,0.0,0.0,0.30677052442361175,0.0,Feb,461.1314712965094,0.0,8.288603577024503,0.0,0.0,6.814548380025584,19.673441995616383,3.7604082728982005,15.578834273435403,3339.9870253006634,1404.2378111499693,457.32593641725447,0.0,0.0,9.447603005080635,Top
2,0,7.25,-3.3508152630694243,0.21,0.83,239.6,134.48,34.28,16.134842984762873,0.0,0.0,44.34316226698087,0.9134385076389032,0.0,0.0,0.0,0.3082889180344764,0.0,Feb,461.6194281384642,0.0,0.0,0.0,0.0,6.848277718072647,17.106099223942827,3.7604082728982005,14.8625660309786,3355.456859124706,1410.4093807858467,455.10515287177026,0.0,0.0,9.618037721239268,Top
3,0,7.36,-0.8293830895948903,0.21,0.93,215.84,137.8,34.32,16.030546740842336,0.0,0.0,44.636119355969505,1.6288784308556203,0.0,0.0,0.0,0.3082889180344764,0.0,Feb,464.6691584006819,0.0,0.0,0.0,0.0,6.848277718072647,15.409768182369866,3.7604082728982005,16.6532366371206,3438.29532411797,1412.055132688747,452.16333570762237,0.0,0.0,17.151252175450928,Top
4,-3,7.35,-1.5017650025214329,0.52,0.84,338.25,131.56,35.07,16.05815457011542,0.0,0.0,42.97212309051405,1.1691840005534764,0.0,0.0,0.0,0.3082889180344764,0.0,Feb,447.34669051128515,0.0,0.0,0.0,0.0,6.848277718072647,24.149157189059522,9.311487151938401,15.041633091592802,3282.5989320824388,1442.9129808681344,452.94205201577915,0.0,0.0,12.310906236545701,Top
5,-3,7.48,4.381576735585811,0.84,1.31,355.45,132.35,39.47,15.790256374946985,0.0,0.0,40.84232505356667,1.2209805560804785,0.0,0.0,0.0,0.33258562392403007,0.0,Feb,425.1751515049622,0.0,0.0,0.0,0.0,7.388000620299666,25.377140939693145,15.041633091592802,23.457784940460204,3302.310494535655,1623.9456901872043,445.3856196921835,0.0,0.0,12.856297328253332,Top
6,-3,7.55,5.558245083207261,0.71,1.24,355.48,139.14,38.78,16.045884423771827,0.0,0.0,41.19240877490809,1.2922008199301063,0.0,0.0,0.0,0.34929223867298287,0.25022266984024777,Feb,428.8195791683124,0.0,0.0,0.0,2.839889568042762,7.759118525734341,25.379282771816346,12.713761303608202,22.204315516160804,3471.7301262538044,1595.5564698621683,452.5959558788206,0.0,0.0,13.606210079351323,Top
7,-6,7.59,2.364430996806185,0.95,1.35,360.85,140.8,34.5,15.929318033507702,0.0,0.0,41.05471894308343,1.3148618129731697,0.0,0.0,0.0,0.34169805727700586,0.0,Feb,427.38620594507006,0.0,0.0,0.0,0.0,7.590422668703065,25.762670721868822,17.011370758349,24.174053182917007,3513.149358750437,1419.4610162518,449.30804257771416,0.0,0.0,13.844818681973411,Top
8,-6,7.61,10.348966212808874,1.62,2.27,489.53,139.13,31.16,16.182901057941944,0.0,0.0,38.771118434417005,1.3537092296184214,0.0,0.0,0.0,0.32043670436378985,0.0,Feb,403.61355855108275,0.0,0.0,0.0,0.0,7.118126582486391,34.949702642306896,29.008863819500405,40.648222759423405,3471.48061280503,1282.0407323595969,456.46069607485805,0.0,0.0,14.253862000754138,Top
